url,price,title
https://www.olx.com.pk/item/sony-ps2-playstation-2-from-england-full-package-IDUYOHN.html,"Rs 7,000",Sony ps2 (playstation 2) from England full package
https://www.olx.com.pk/item/call-of-duty-black-ops-3-IDUYUu2.html,"Rs 3,000",Call of Duty Black Ops 3
https://www.olx.com.pk/item/veporizer-import-from-ksa-100-new-IDUYUwl.html,"Rs 15,000",Veporizer import from Ksa 100% new
https://www.olx.com.pk/item/ps4-game-assassins-creed-syndicate-IDUYUx2.html,"Rs 2,000",PS4 Game Assassin's Creed syndicate
https://www.olx.com.pk/item/call-of-duty-blacks-opp-3-IDUYwju.html,"Rs 3,000",Call of duty blacks opp 3
https://www.olx.com.pk/item/l-shape-sofas-malik-najam-IDUYwgG.html,"Rs 45,000",L shape sofa's Malik Najam
https://www.olx.com.pk/item/ps4-uk-reg-2-IDUYw8X.html,"Rs 39,000",PS4 UK reg 2
https://www.olx.com.pk/item/fifa-16-for-ps4-IDUYw58.html,"Rs 2,000",FIFA 16 for PS4
https://www.olx.com.pk/item/dualshock-4-wireless-controller-IDUYw1l.html,"Rs 4,500",Dualshock 4 Wireless controller
https://www.olx.com.pk/item/xbox-one-controller-IDUYuYj.html,"Rs 4,000",Xbox One Controller
https://www.olx.com.pk/item/playstation-4-hard-drive-2tb-IDUYuXn.html,"Rs 9,500",Playstation 4 hard-drive 2tb
https://www.olx.com.pk/item/ps4-game-batman-arkham-knight-IDUYUyl.html,"Rs 2,000",PS4 game. Batman Arkham Knight.
https://www.olx.com.pk/item/new-model-latest-feateur-32inch-3d-smart-led-tv-IDUPG0E.html,"Rs 28,000",New model latest feateur** 32inch 3d+smart led tv
https://www.olx.com.pk/item/special-dlna-mira-display-port-to-screen-sharing-IDUYUJw.html,"Rs 2,200",Special DLNA mira display port to screen sharing
https://www.olx.com.pk/item/32inch-4k-led-tv-sony-samsung-all-model-IDUNLcj.html,"Rs 20,000","32inch 4k led tv $$ sony,,samsung all model"
https://www.olx.com.pk/item/watch-hd-movies-samsung-sharp-colored-42inch-led-tvs-IDUTcfz.html,"Rs 29,000",Watch HD Movies Samsung Sharp Colored 42inch LED TV's.
https://www.olx.com.pk/item/super-fantsy-model-fd-180x-with-good-sound-music-IDUYUK4.html,"Rs 4,799",Super Fantsy model F^D 180x with good sound music
https://www.olx.com.pk/item/smart-new-32-led-hd-quality-with-warranty-IDUXiME.html,"Rs 18,000","Smart new 32"" LED ( HD quality) with warranty"
https://www.olx.com.pk/item/24inch-best-price-sony-bravia-led-tv-IDUQGYg.html,"Rs 13,000",24inch best price^^ sony bravia led tv
https://www.olx.com.pk/item/brilliant-display-55smart-sony-curved-led-tvs-IDUTchL.html,"Rs 85,000",Brilliant Display 55''Smart Sony Curved LED TV's.
https://www.olx.com.pk/item/best-price-4k-model-3d-smart-led-tv-one-year-warrnty-IDUWwXJ.html,"Rs 27,000","Best price ,,4k model 3d+smart led tv one year warrnty"
https://www.olx.com.pk/item/andriod-smart-led-tv-42inch-sony-bravia-IDUNLfw.html,"Rs 34,000",Andriod smart led tv 42inch^^ sony bravia
https://www.olx.com.pk/item/dabba-pack-32inch-samrt-led-tv-samsung-sony-avail-IDURE7E.html,"Rs 24,000",Dabba pack 32inch samrt led tv ^^ samsung sony avail
https://www.olx.com.pk/item/curved-32inch-4k-model-led-tv-made-in-malaysia-IDUWwVj.html,"Rs 23,000",Curved_ 32inch 4k model led tv made in malaysia
https://www.olx.com.pk/item/curved-led-tv-sony-bravia-smart-42inch-led-tv-IDUWv0j.html,"Rs 35,000",Curved led tv sony bravia smart 42inch // led tv
https://www.olx.com.pk/item/42inch-curve-sony-samsung-led-tv-IDUUlDI.html,"Rs 35,000","42inch curve sony,,samsung led tv"
https://www.olx.com.pk/item/f-d-new-sound-system-f550x-new-j800-IDUYUGB.html,"Rs 6,599",F&D new sound system F550x New J800
https://www.olx.com.pk/item/32-led-simplpe-ab-16k-men-mukammal-variety-IDURubZ.html,"Rs 16,000","32"" LED simplpe ab 16k men ,., Mukammal variety"
https://www.olx.com.pk/item/samsung-smart-42inches-smart-4k-android-IDUSpUl.html,"Rs 27,000",Samsung smart 42inches smart_4k_android
https://www.olx.com.pk/item/32-smart-led-1-yr-warranty-best-performance-IDURuTL.html,"Rs 18,000","//32"" Smart LED 1 yr Warranty best performance"
https://www.olx.com.pk/item/for-just-24k-avail-new-42inch-led-with-all-new-amazing-specs-IDUYMrD.html,"Rs 24,000",For Just 24k avail new 42inch LED )) With all new amazing specs _
https://www.olx.com.pk/item/24led-tv-at-very-lao-price-IDUYUH9.html,"Rs 12,499",((24''))Led Tv At very lao price
https://www.olx.com.pk/item/get-led-32-inches-wifi-wali-super-sharp-image-display-IDUQc1W.html,"Rs 18,000",Get led 32 inches wifi wali Super Sharp image display
https://www.olx.com.pk/item/tv-in-a-good-condition-IDUYUNY.html,"Rs 6,000",Tv in a good condition.
https://www.olx.com.pk/item/get-the-new-42-inched-led-simple-stylish-model-metallic-frame-IDURuGm.html,"Rs 25,000",Get the new 42 inched LED Simple stylish model metallic frame (
https://www.olx.com.pk/item/nyc-speaker-with-f-d-dj-system-f550x-IDUYUPj.html,"Rs 6,899",Nyc Speaker with F&D Dj system F550x
https://www.olx.com.pk/item/sony-ultra-hd-4k-32-led-tv-IDUYMz6.html,"Rs 15,500","Sony ultra hd 4k 32"" LED Tv"
https://www.olx.com.pk/item/samsang-40-simple-led-new-dhmaka-offer-pr-23500-IDUSpAK.html,"Rs 23,500",Samsang 40 simple led new dhmaka offer pr 23500
https://www.olx.com.pk/item/neck-stereo-headphone-IDUYUMJ.html,Rs 800,Neck Stereo Headphone
https://www.olx.com.pk/item/superlative-design-sonybravia-android-55smart-hq-led-tvs-IDUTciY.html,"Rs 62,000",Superlative Design SonyBravia Android 55''Smart HQ LED TV's.
https://www.olx.com.pk/item/3d-android-biltan-wifi-all-apps-60-samsung-big-screen-IDUYM7s.html,"Rs 60,000","_3D*+ANDROID biltan wifi ALL APPS (60"")SAMSUNG BIG screen )"
https://www.olx.com.pk/item/new-box-pack-onn-oneb-807bk-bluetooth-speakers-with-remote-control-IDUYUQW.html,"Rs 2,499",New Box Pack ONN ONEB-807BK Bluetooth Speakers with Remote Control
https://www.olx.com.pk/item/sparkling-uhd-65inch-curved-samsung-pure-hd-smart-led-IDUTclL.html,"Rs 1,26,000",Sparkling UHD 65inch Curved Samsung Pure hd Smart led
https://www.olx.com.pk/item/used-benq-projector-price-in-karachi-pakistan-refurbished-benq-project-IDTc8dn.html,"Rs 19,500",Used benq projector price in karachi pakistan refurbished benq project
https://www.olx.com.pk/item/22-led-tv-box-pack-new-with-warranty-IDUTtXy.html,"Rs 6,000","22"" Led Tv Box pack New with warranty"
https://www.olx.com.pk/item/w-series-52-smart-led-android-ke-saath-leading-product-in-market-IDUTr2L.html,"Rs 45,000","(W series 52"" Smart LED android Ke Saath // leading product in market"
https://www.olx.com.pk/item/group-design-system-with-coby-5-1-channel-system-IDUYUSu.html,"Rs 4,800",Group design system with coby 5.1 channel system
https://www.olx.com.pk/item/box-pack-smart-32-led-hi-fi-with-full-warranty-of-one-year-IDUQnm0.html,"Rs 17,000","Box pack smart 32 "" Led Hi-fi … With full warranty of one year"
https://www.olx.com.pk/item/best-52-inch-uhd-amdroid-smart-tv-sony-led-with-warranty-IDUQkj5.html,"Rs 45,000",Best 52 inch Uhd Amdroid Smart Tv Sony LED With warranty
https://www.olx.com.pk/item/vants-mee-32-inches-lcd-tv-IDUYUU4.html,"Rs 16,500",VANTS mee&& 32 inches lcd tv
https://www.olx.com.pk/item/offer-001-dell-e6430-i7-3rd-gen-2-7ghz-4gb-320gb-with-free-bag-IDSFiQp.html,"Rs 29,000",(Offer 001) Dell E6430 i7 3rd Gen 2.7ghz 4gb|320gb with Free Bag
https://www.olx.com.pk/item/samsung-television-rs-8-000-IDUEIWV.html,"Rs 8,000","Samsung television rs 8,000"
https://www.olx.com.pk/item/zong-wingle-super-3g-IDUE4Mr.html,"Rs 1,000",Zong wingle super 3G
https://www.olx.com.pk/item/dell-core-i7-3rd-generation-IDUYW4C.html,"Rs 26,500",Dell core i7 3rd Generation
https://www.olx.com.pk/item/hp-elitebook-8560p-with-graphic-card-IDUYW5z.html,"Rs 25,000",Hp EliteBook 8560p (with Graphic Card)
https://www.olx.com.pk/item/zong-wifi-device-IDUYW65.html,"Rs 2,500",Zong wifi device
https://www.olx.com.pk/item/cooler-master-500w-psu-for-pc-IDUYW6x.html,"Rs 3,200",Cooler Master 500W PSU for PC
https://www.olx.com.pk/item/leap-motion-sensor-3d-wireless-interaction-with-pc-mac-75-discount-IDUYOLu.html,"Rs 3,000",Leap Motion Sensor 3D Wireless Interaction with PC & MAC 75% Discount
https://www.olx.com.pk/item/brand-new-hp-pavilion-13-core-i5-8gb-750gb-slimmest-ultrabook-warrant-IDUYOL4.html,"Rs 36,999","Brand New Hp Pavilion 13 Core i5,8GB,750GB,Slimmest UltraBook warrant"
https://www.olx.com.pk/item/brand-new-hp-pavilion-14-core-i5-beats-audio-ultrabook-warranty-IDUYOLq.html,"Rs 36,999","Brand New Hp Pavilion 14,Core i5,Beats Audio,UltraBook,Warranty"
https://www.olx.com.pk/item/brand-new-hp-pavilion-11-x360-touchsmart-6th-gen-better-than-core-i3-IDUYOKV.html,"Rs 29,999","Brand New Hp Pavilion 11 X360,TouchSmart,6th Gen,better than core i3"
https://www.olx.com.pk/item/hp-usb-16gb-IDUYOIa.html,Rs 400,Hp Usb 16gb
https://www.olx.com.pk/item/notebook-repairing-workshop-IDUYwRJ.html,Rs 100,Notebook Repairing workshop
https://www.olx.com.pk/item/desktop-gaming-pc-IDUYwQT.html,"Rs 9,000",Desktop gaming pc
https://www.olx.com.pk/item/pantium-4-in-good-condition-IDUYwQt.html,"Rs 2,000",Pantium 4 in good condition
https://www.olx.com.pk/item/pure-sine-wave-ups-IDUYwLJ.html,"Rs 7,000",Pure sine wave ups
https://www.olx.com.pk/item/acer-aspire-5715z-dual-core-builtin-camra-etc-must-read-personal-used-IDUYwL1.html,"Rs 10,000",Acer Aspire 5715z dual core Builtin camra etc must read personal used
https://www.olx.com.pk/item/huawei-e352-high-speed-usb-internet-stick-with-extenal-antenna-suport-IDUYwIV.html,"Rs 2,499",HUAWEI E352 High Speed USB internet Stick With Extenal Antenna Suport
https://www.olx.com.pk/item/hp2540p-like-new-IDUYwGR.html,"Rs 17,500",Hp2540p like new
https://www.olx.com.pk/item/elitebook-6930p-IDUYwBm.html,"Rs 12,400",Elitebook 6930p
https://www.olx.com.pk/item/saw-machine-IDUYww5.html,"Rs 80,000",Saw Machine
https://www.olx.com.pk/item/cure-2-duo-macbook-IDUYwzy.html,"Rs 15,000",Cure 2 duo macbook
https://www.olx.com.pk/item/laptop-hp-probook-6570b-core-i-5-3rd-gen-IDUYejF.html,"Rs 22,000",Laptop HP Probook 6570b Core i 5 3rd Gen
https://www.olx.com.pk/item/zong-4g-could-mifi-anlock-all-sim-supported-IDUYedh.html,"Rs 4,000",Zong 4g could mifi anlock all Sim supported
